1,374,70279
2,133,34990
3,738,68961
4,876,53750
5,834,60077
6,995,29784
7,779,78183
8,728,70532
9,315,61991
10,514,40203
11,266,690
12,38,50391
13,417,31902
14,123,24279
15,484,10063
16,944,13707
17,116,64720
18,640,81125
19,46,43831
20,137,3159
21,583,75212
22,964,32977
23,1000,38722
24,42,31626
25,376,67241
26,884,65756
27,915,64544
28,329,27822
29,518,32118
30,482,3318
31,721,75355
32,400,52600
33,516,6372
34,429,22044
35,670,40441
36,944,24533
37,810,33700
38,966,17652
39,302,75908
40,70,12286
41,354,69351
42,508,11871
43,772,16046
44,446,16874
45,897,48244
46,614,67246
47,664,39088
48,46,9850
49,748,66128
50,215,50464
51,406,66747
52,384,34159
53,299,41272
54,240,27469
55,654,40037
56,961,46034
57,4,16510
58,340,79785
59,923,18680
60,509,328
61,722,60716
62,784,36531
63,739,35155
64,685,82917
65,615,66848
66,674,77293
67,408,47912
68,832,18684
69,564,554
70,348,26537
71,97,46550
72,202,82502
73,694,36081
74,871,29927
75,243,74291
76,701,82375
77,147,181
78,535,12327
79,913,25130
80,724,37391
81,657,79857
82,357,18302
83,12,13017
84,793,13897
85,7,26720
86,928,34013
87,72,22767
88,994,51719
89,74,46158
90,225,41771
91,63,1532
92,247,24470
93,130,6597
94,9,59883
95,167,27644
96,970,51932
97,590,75348
98,777,59476
99,689,30912
100,398,76320
101,734,3604
102,240,60380
103,755,31607
104,419,69569
105,926,19335
106,60,19009
107,868,45833
108,984,34273
109,55,71310
110,88,80174
111,428,8269
112,56,60962
113,516,73017
114,716,18151
115,904,37017
116,477,6384
117,182,21767
118,37,31145
119,846,72056
120,662,27008
121,397,27257
122,310,48151
123,678,74125
124,510,13763
125,369,76807
126,361,61621
127,386,14886
128,553,80111
129,128,45319
130,522,59721
131,529,2095
132,635,60598
133,445,66795
134,738,65400
135,951,73446
136,761,82826
137,992,3481
138,574,26630
139,203,23255
140,872,60618
141,208,32343
142,882,53315
143,11,3677
144,162,63424
145,103,16627
146,44,56486
147,743,51525
148,567,70298
149,648,58753
150,210,65763
151,375,12462
152,877,80545
153,641,20833
154,975,36806
155,18,40991
156,608,25634
157,344,31145
158,835,39082
159,809,67407
160,459,19611
161,457,44121
162,366,43042
163,100,364
164,428,71236
165,428,60901
166,258,57447
167,465,13623
168,844,41189
169,346,63005
170,662,29713
171,4,76368
172,541,54324
173,124,8469
174,62,52256
175,912,36371
176,819,60001
177,549,10446
178,472,72327
179,255,34970
180,595,35538
181,951,10454
182,521,42382
183,430,43404
184,651,49431
185,525,18838
186,403,72340
187,998,71939
188,993,4194
189,457,57038
190,72,65374
191,942,67341
192,502,26467
193,665,16119
194,520,20898
195,389,31894
196,999,79626
197,341,50707
198,483,17805
199,367,70421
200,710,82419
201,864,14954
202,399,30652
203,332,2235
204,361,41456
205,38,77432
206,219,64129
207,120,50586
208,714,73663
209,959,80796
210,757,23876
211,202,62673
212,409,14262
213,911,77214
214,777,11335
215,206,60722
216,249,23324
217,711,38529
218,343,43130
219,917,70162
220,654,35298
221,390,53151
222,990,72960
223,747,51726
224,120,48883
225,459,54102
226,617,12307
227,86,7403
228,361,80845
229,472,73866
230,620,75226
231,35,7982
232,627,11160
233,281,62088
234,327,73685
235,870,68918
236,982,69502
237,758,13645
238,947,30679
239,154,48078
240,943,47080
241,518,54567
242,803,68952
243,302,52123
244,1000,46564
245,94,40219
246,513,56437
247,121,61604
248,364,59427
249,26,75704
250,262,50289
251,677,10859
252,814,510
253,721,67378
254,127,4967
255,850,44630
256,850,17592
257,444,8802
258,786,68445
259,323,44705
260,556,18273
261,471,4324
262,82,33738
263,881,2526
264,96,14674
265,894,69590
266,640,73127
267,297,10672
268,31,17936
269,127,49626
270,137,34724
271,217,36662
272,268,5107
273,411,13782
274,912,824
275,247,49581
276,849,28146
277,985,68057
278,883,49767
279,422,6921
280,430,58503
